"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","Unidade da Federação x Produto das lavouras"
"Mês","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"Mês","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar"
"março 2014","-","-","293146","-","858629","-","2800000","2766893","915234","1691064","2934864","6666405","15307707","23656197","3389730","5954976","76741199","3877473","5115931","404679977","49226784","-","1120563","41496041","19152926","69307411","-"
"abril 2014","-","-","293146","-","858629","-","2800000","2766893","915234","1691064","2934864","6666405","15307707","23656197","3561808","5954976","72478919","3881153","5115631","404679977","49226784","-","1120563","45400443","19152926","69307411","-"
"maio 2014","-","-","293146","-","922834","-","1424923","2766893","915234","1691064","2936186","6767990","15307707","27216331","3561808","5954976","71386067","3881153","5112631","404679977","49226784","-","1098485","45400443","18937189","69307411","-"
"junho 2014","-","-","293146","-","922834","-","2804697","2766893","914253","1691064","2936186","6767990","15307707","27216331","3561808","6690194","71386067","3880923","5110181","404679977","50421577","-","1098485","45400443","18937189","68431516","-"
"julho 2014","-","-","303671","-","922884","-","2804697","2766893","914253","1700188","2936186","6767990","15307707","27216331","3037432","6690194","72271687","3880923","5110181","404679977","50421577","-","1098485","45445200","18937189","68486946","-"
"agosto 2014","-","-","303671","-","922884","-","2804697","2766893","913002","1630520","2911238","6756290","15316187","30850022","3037432","6690194","72264447","4076923","5110181","404679977","50549509","-","1086088","45382882","18937189","71243088","-"
"setembro 2014","-","-","303671","-","922884","-","2805297","2766893","913002","1570999","3905738","6756290","15314937","30850022","3037432","6690194","72073167","4076923","5110181","404679977","50044246","-","1081112","45382882","18937189","71823088","-"
"outubro 2014","-","-","303671","-","921704","-","2805297","2667375","913002","1416407","3899348","6756290","15313487","30850022","3037432","6650240","71268868","4075473","5110181","358257835","50044246","-","1056986","44250000","18937189","67409218","-"
"novembro 2014","-","-","303671","-","921704","-","2805297","2667375","903943","1413789","3899348","6756290","15337489","31003908","3037432","6650240","71270000","4075473","5110181","353211950","50044246","-","1056986","44250000","18937189","69115861","-"
"dezembro 2014","-","-","303671","-","921704","-","2805297","2665104","903943","1198015","3899348","6755620","15417362","31003908","3037432","6706024","71086808","4075723","4785681","353211950","49087309","-","1043386","43000000","18937189","69116761","-"
"janeiro 2015","-","-","303971","-","827460","-","2805297","2814124","899004","1200226","3806558","6772685","14964697","31003908","3036605","6129148","70030287","4088637","4338441","353211950","50768839","-","858023","44500000","17514321","60545357","-"
"fevereiro 2015","-","-","303971","-","827460","-","1386539","2878736","899004","1186501","3806558","6772685","15441532","31003908","3036605","6129148","70624472","3696982","4338911","343344668","50768839","-","850301","44500000","19071828","61755701","-"
"março 2015","-","-","303971","-","920940","-","1386539","2878736","921464","1185834","3741025","6772685","15490557","31003908","3036605","6129148","70574783","3696982","4078636","343344668","50768839","-","849300","44500000","20331630","61092476","-"
"abril 2015","-","-","303971","-","920044","-","1386539","2878736","921464","1111562","3739712","6772685","16148751","31003908","3036605","6129148","69020817","3693517","4078636","343344668","50768839","-","849300","50200000","20331630","62308104","-"
"maio 2015","-","-","303971","-","918746","-","1386539","2851718","888774","1090191","3737548","6813995","16075126","31003908","3036605","6129148","68827217","3693517","4070696","343344668","50768839","-","844802","50200000","20331380","62326654","-"
"junho 2015","-","-","303971","-","918746","-","1386539","2851718","888774","1089149","3736752","6813995","16062876","24803084","3277551","6129148","69003671","3565750","4068296","343344668","50531810","-","844802","51222400","20331380","67123306","-"
"julho 2015","-","-","303971","-","918178","-","1415047","2851718","888774","1082201","3736526","6813995","16062876","24803084","3277551","6129148","69341675","3565750","4024136","368173995","50531810","-","843160","51222400","20094782","67123306","-"
"agosto 2015","-","-","303971","-","918178","-","1415047","3162498","866766","1057326","3736146","6790295","16063516","27189576","3277551","6129148","69284429","3565750","4019336","368173995","51932792","-","843160","51222400","20094632","65769500","-"
"setembro 2015","-","-","303971","-","918178","-","1416516","3162498","866766","1043316","3736146","6790295","16063416","27189576","3332584","6129148","69278629","3567050","4019336","368173995","51254675","-","839760","51222400","20094632","68996515","-"
"outubro 2015","1","199027","303971","2808","918178","1","1416516","3146972","866766","1022919","3736146","6790295","16063416","27189576","3332584","6129148","69188412","3321204","4019021","365780415","51254675","1","834810","51222400","20094632","68996515","39814"
"novembro 2015","1","197528","303971","2808","918297","1","1418516","3143753","861393","996873","3724046","6802441","16063416","26783056","3332584","5838605","69386087","3321204","4018951","365780415","51254675","1","834810","51222400","20094632","69127015","39814"
"dezembro 2015","1","198195","303971","5151","918297","1","1418516","3124141","861393","906662","3724046","6802381","16066768","26783056","3220415","5838605","69000135","3320809","3990966","415891909","51254675","1","834500","51222400","20094632","69127015","39814"
"janeiro 2016","-","201034","303971","3976","922340","-","28269","3134108","899109","1000802","3806558","6920385","14963931","28498460","3220415","6075000","70068067","3220632","2590395","390000000","51033291","-","777669","51222400","19160561","63299155","38703"
"fevereiro 2016","-","201404","303971","3976","920922","-","28269","3134040","899109","976702","3806558","6920385","14963931","28498460","3220415","6075000","70059874","3207432","2582379","390000000","51033291","-","778824","51222400","19385422","64078117","38703"
"março 2016","-","204647","303971","3976","920922","-","1418516","3133160","895954","970123","3806558","6920385","14965218","28498460","3579650","6075000","69978471","3207432","2582379","390000000","51033291","-","775674","51222400","18821852","66229476","38703"
"abril 2016","-","204647","303971","3976","922910","-","1418516","3133160","895954","969463","3806558","6920385","14975278","28498460","3579650","6075000","69194858","2973524","2581359","390000000","51033291","-","775674","52220075","18824132","70581970","38703"
"maio 2016","-","204647","303971","3976","922910","-","2970794","3131417","883164","967640","3573992","6891932","14975278","28498460","3579650","6075000","69421789","2966324","2581359","390000000","51033291","-","769071","52220075","19176542","69729070","38703"
"junho 2016","-","205542","303971","3976","921860","-","2970794","3131417","883164","951704","3573992","6891932","14975278","24501572","3579650","6075000","69399529","3055683","2501159","390000000","50825023","-","769071","52220075","19176542","69729070","38703"
"julho 2016","-","205542","303971","3976","921650","-","2970794","3039403","883164","945415","3573300","6891932","14975278","23683643","3149582","6075000","69436389","3055683","2450559","400788570","50825023","-","767181","52220075","19203564","70433372","38703"
"agosto 2016","-","204843","303971","3976","921650","-","2970794","3039403","883164","843408","3572624","6928984","14975278","21628299","3196202","6075000","69628074","2846458","2447899","400788570","52378380","-","767181","52220075","19203564","70651882","38703"
"setembro 2016","-","186079","303971","3976","921864","-","2970794","2993209","876413","842989","3579549","6928984","14975278","21628299","3196202","5625000","69667279","2846458","2447899","400790775","49859987","-","767181","52220075","19203564","70651882","38703"
"outubro 2016","159383","185799","303971","3976","921744","4480","2970794","2993209","876413","821610","3579549","6928984","14785663","21628299","3196202","5625000","69818789","2845580","2447899","400790775","49859987","384625","766576","52220075","19203464","70150458","38703"
"novembro 2016","159383","165465","303971","3976","921744","4480","2970107","2993209","867852","792775","3576381","6928984","14785663","21727027","3140257","5625000","69807060","2845580","2447899","400790775","49859987","384625","766576","52220075","19203464","70493478","38703"
"dezembro 2016","159383","117436","303971","3976","917802","4480","2974039","2520500","726743","716327","3576341","6908885","13044509","19079722","3163751","5475000","69934887","2845580","2443219","400790775","49740741","375565","761076","52220075","19203464","70493478","27760"
"janeiro 2017","1","102972","254352","3976","867513","1","1402033","2486297","836048","774449","3806558","6626495","14951411","21563125","3163751","5355000","71633923","2679331","2407896","392128800","51024276","375565","730421","52220075","19548723","64870764","39549"
"fevereiro 2017","159383","102972","254352","3976","867753","4480","2880433","2485208","836048","774449","3806558","6626495","14997575","21563125","3163751","5355000","71791839","2497586","2413896","392128800","51024276","375565","729611","52220075","19548723","64920414","39549"
"março 2017","159383","86543","254352","3976","871823","4480","2880433","2484395","833868","773809","3806558","6626495","14997575","21563125","3163751","3575000","73228709","2497586","2474806","392128800","51024276","375565","737058","52220075","19209904","63447657","39549"
"abril 2017","159383","86917","254352","3976","871823","4480","2880433","2484395","833868","772923","3806558","6626495","15107209","21563125","3163751","3575000","72534205","2277541","2474806","382176000","51024276","375565","737058","51927246","19209904","63440144","39549"
"maio 2017","159383","86917","254352","3976","866996","4480","2634902","2484394","833868","770569","3756672","6585817","15064273","18897083","3163751","3638000","72168186","1924777","2474806","382176000","50160698","375565","739591","51927246","19209904","63867849","39549"
"junho 2017","327824","86917","254352","3976","866996","4480","2635036","2484211","833868","768885","3756672","6585817","15068923","18897083","3163751","3785000","70922581","1921846","2474806","382176000","50160698","375565","739591","51927246","19209904","63867705","39549"
"julho 2017","327824","87251","254352","3976","859683","4480","2970700","2482877","833868","778240","3756672","6585817","15068923","16241267","3163751","3785000","70922581","2174415","2474806","387435400","48739100","375565","735871","51927246","19221904","70800885","39549"
"agosto 2017","327824","25312","254352","3976","859683","4480","2970726","2482877","835988","777690","3818563","6590967","15068923","16312704","3163751","3785000","70914991","2175415","2474806","387435400","48886140","375565","735871","51927246","19221904","74024624","39549"
"setembro 2017","327824","25312","254352","3976","859683","4480","2970726","2482877","835988","779094","3723663","6590967","15063542","16613320","3163751","3785000","70927251","2175415","2430556","395000000","46072067","375565","735871","51927246","19221904","72974624","39549"
"outubro 2017","327824","25312","254352","3976","859683","4480","2970726","2482877","835988","781089","3723143","6590967","15063542","16613320","2182324","3231000","70930673","2174345","2430556","395000000","46072067","375565","735871","50718650","19223704","72952104","39549"
"novembro 2017","327824","23348","254352","3976","859683","4480","2970726","2482877","829102","784174","3723101","6590967","15063542","14968691","2182324","3231000","70965123","2174345","2327056","395000000","46072067","375565","735871","50718650","19223704","72952104","31125"
"dezembro 2017","327824","21950","254352","3976","859683","4480","2970793","2482877","829102","689418","3723101","5197152","15063542","14968691","2182324","3231000","70965123","2174595","2327056","370000000","45499640","375565","730192","50718650","19223704","72954018","31125"
"janeiro 2018","327824","30630","263854","3976","936228","4480","331742","2663141","910379","709753","3806558","6626495","14964202","13069440","2552473","6075000","69771431","2177375","2562256","351499969","46760526","375564","712890","49000000","19720193","75228914","39549"
"fevereiro 2018","327824","30630","263854","3976","936068","4480","3218142","2662841","910379","709753","3806558","6626495","15040073","13069440","2552473","5180000","69771431","2177375","2444803","351499969","46760526","375564","712890","49000000","19720193","74843914","39549"
"março 2018","327824","28000","263854","3976","936068","4480","3218142","2662841","855008","699714","3285472","6626495","14141589","14356810","2552473","5180000","69771431","2478176","2455660","351499969","46760526","375564","712890","50400000","20751896","75075914","39549"
"abril 2018","73950","28000","263854","3976","936068","4480","3121925","2662841","855008","676461","3286672","6626495","14141589","14673610","2552473","4680000","69771431","2478176","2454900","381699890","46760526","313015","700352","49580000","20751896","75136014","17425"
"maio 2018","73950","28000","263854","3976","936068","4480","3068739","2662841","847708","677120","3300716","5486369","14141589","14673610","2552473","4680000","69771431","2478176","2455660","381699890","46760526","313015","700352","49580000","20751896","75136014","17425"
"junho 2018","73950","28000","263854","3976","936043","4480","3068739","2662841","847708","677120","3300716","5486369","14141589","14673610","2552473","4680000","69771431","2487826","2455660","370965540","45396660","313015","700352","49580000","20751896","75595139","17425"
"julho 2018","15070","28000","263854","3976","936083","4480","2860974","2662989","847708","676748","3854801","5486369","14141589","14745155","2048765","4680000","69771431","2487826","2455660","370965540","44684270","313015","700352","49580000","20361828","75927107","17425"
"agosto 2018","15070","65485","263854","3976","928145","4480","2861092","2526808","839815","675726","3854801","5466737","10392673","14745155","2048765","4680000","69771431","2472334","2444860","370965540","44684270","313015","686658","49580000","20361828","76082607","17425"
"setembro 2018","15070","11160","263854","3976","925747","4480","2861092","2532158","839815","675731","3855065","5466737","10392673","15214785","2048765","4680000","69771431","2472334","2444254","358438815","42783122","313015","686408","49580000","20433828","76125753","17425"
"outubro 2018","15070","11160","263854","3976","925747","4480","2861092","2532158","839815","677175","3855065","5466737","10957608","15520590","2048765","4680000","69216212","2472334","2441353","358438815","42938486","313015","682935","49580000","20433828","75667242","17425"
"novembro 2018","15070","11558","263854","3976","927127","4480","2861092","2532158","839544","664192","3855065","5535979","10957608","17238820","2048765","4680000","69952501","2472334","2441353","358438815","42938486","313015","682935","49580000","20433828","75667242","17425"
"dezembro 2018","15070","11558","263854","3976","927127","4480","3102774","2427096","839544","571398","3855065","5535979","11957196","17238820","2048765","4680000","70797241","2474190","2441353","358438815","42068520","313015","683385","49580000","20433828","73448244","17425"
"janeiro 2019","15070","94714","274059","3976","918888","4480","2862743","2474951","982643","567594","3827606","5525609","11722753","17185797","2301099","5580000","67499076","2427674","2447505","350000000","42068520","313015","622694","49580000","22338514","74409457","17506"
"fevereiro 2019","15070","94714","274059","3976","918897","4480","2862743","2458628","982643","571191","3827606","5525609","12246430","17185797","2301099","5580000","67499076","2492012","2412717","350000000","42068520","313015","622902","49580000","22338514","72930465","17506"
"março 2019","15070","94714","274059","3976","918897","4480","2862743","2744184","983031","563752","3838333","5525609","12246430","17300000","2301099","5580000","67499076","2492012","2413441","357000000","42068520","313015","623760","49580000","23133263","76586126","17506"
"abril 2019","93646","94714","274059","3976","918897","4480","2862743","2809398","983031","566010","3838892","5511672","12072937","17300000","2301099","5580000","77623727","2480369","2413853","357000000","42068520","313015","623760","51137414","23133263","76580155","17506"
"maio 2019","93646","94714","274059","3976","918897","4480","2862743","2809588","994064","556873","3838722","5511672","11964942","17300000","2301099","4690000","77256149","2480369","2409053","357000000","40875119","313015","622960","51137414","23141364","76762105","17506"
"junho 2019","93646","94714","274059","3976","918661","4480","2862743","2809588","994064","558188","3824408","5511672","12078893","17300000","2301099","4690000","73603267","2480369","2409053","339587220","40661583","313015","622960","51137414","23141364","76749281","17506"
"julho 2019","93646","94714","274059","3976","918661","4480","3110189","2808048","994064","559501","3824408","5511672","12187175","16515301","2029511","4690000","74078703","2480369","2409053","339587220","40583213","195998","627186","51137414","23499137","76810239","17506"
"agosto 2019","93646","94714","274059","3976","1061021","4480","3110175","2808048","994098","569602","3821876","5579812","12262212","16044053","2029511","4690000","74246687","2480369","2409053","339587220","40437287","195998","627186","51137414","23499137","76816644","17506"
"setembro 2019","93646","94714","274059","3976","1061021","4480","3110175","2808065","994098","581845","3821876","5579812","12262212","16526590","1829437","4206000","73490935","2480369","2405983","341819940","40235077","195998","629236","51137414","23438807","76834144","17506"
"outubro 2019","58506","94714","274059","3976","1061021","4480","3110175","2808065","994098","581805","3822006","5579812","12262212","16526590","1829437","4206000","74527255","2479957","2405983","341819940","40016000","194725","627543","51137414","23438807","76834144","17506"
"novembro 2019","58506","94714","274059","3976","1060981","4480","3110175","2896200","992980","582130","3894118","5156501","12298026","17817717","1829437","4206000","74409485","2479957","2475812","341819940","40016000","194725","627543","51286785","23324502","75594221","17506"
"dezembro 2019","58506","94714","274059","3976","1062361","4480","3110175","2924480","992980","579300","3894118","5156501","12271379","17817717","1829437","4206000","74322036","2479857","2476443","341819940","40078000","194725","627893","52245075","23324502","75666315","17506"
"janeiro 2020","58506","83860","283676","3976","1036419","-","3045992","2921048","1003084","502528","3840007","5151327","12271451","18011000","2066705","4042000","77788926","2305932","2383081","341799964","41779986","195998","619536","51103396","23574277","73948300","17375"
"fevereiro 2020","58506","83860","283676","3976","1062594","-","3045832","2921048","1003084","502528","3840007","5151327","12271451","18011000","2066705","4042000","77788926","2306932","2383081","341799964","41779986","195998","619536","51623972","23574277","77855505","17375"
"março 2020","58506","83860","283676","3976","1064694","-","3045832","2920431","1003204","478655","3840007","5151327","12317075","18011000","2066705","4042000","77788926","2308357","2339498","341799964","41486488","195998","604469","51623972","23505582","76727337","17375"
"abril 2020","65435","11860","283676","3976","1064694","-","3045832","2920431","1003204","479114","3840007","5151327","12317075","18396887","2066705","4042000","76134852","2308357","2446556","341799964","40568700","195998","604469","51623972","23505582","76727337","17375"
"maio 2020","65435","11860","283676","3976","1064694","-","3045832","2920431","1003204","504122","3899794","5645457","12320765","19050000","2066705","5150000","76168225","2308357","2446384","341799964","40943300","195998","554627","51624332","23505582","76811615","17375"
"junho 2020","65435","11928","283676","3976","1064694","-","3045832","2920913","1003204","556154","3899794","5645457","12433759","19050000","2066705","5150000","76190634","2308357","2447357","353910974","40590200","195998","554627","51624332","23505582","76852700","17375"
"julho 2020","65435","11928","283676","3976","1065294","-","3045832","2923749","1001382","556169","3899794","5645457","12541459","19050000","2066705","5150000","76190634","2308357","2447337","353910974","40554700","191488","539366","51624332","21574864","76852700","17375"
"agosto 2020","65435","11928","283676","3976","1065294","-","3045832","2895181","1001382","559731","3899794","5723847","12541591","17550000","2066705","5150000","76230184","2308357","2447337","353910974","40439500","191488","539366","61623972","21574864","76852700","17375"
"setembro 2020","65435","11888","283676","3976","1065294","-","3045832","2890105","1001382","560247","3899794","5723847","12541591","17550000","2066705","5150000","76265196","2308357","2447337","352332225","40294300","191488","540636","61623972","21542342","76852700","17375"
"outubro 2020","65578","11888","283676","3976","1065294","-","3045832","2890101","1001382","560924","3899794","5723847","13574995","17550000","2066705","5150000","76278174","2308357","2447369","352332225","39806300","191488","538023","61623972","21542342","76852700","17375"
"novembro 2020","65578","11888","283676","3976","1060687","-","3045832","2890106","1002464","563784","3899896","5737572","13520003","17550000","2066705","5150000","76278174","2308357","2447369","352332225","39451400","191488","538023","61623972","21542432","76853699","17375"
"dezembro 2020","65578","11888","283676","3976","1060687","-","3047647","2877606","1002464","588084","5749885","5737572","13803259","15241840","2066705","5150000","78383624","2578975","2447369","352332225","38489600","191488","537923","47850852","21542432","76853699","17375"
"janeiro 2021","65578","12450","234500","3976","1062154","-","3044809","2869586","932964","494058","4437419","5273752","12525436","16214784","2046929","5350000","76211642","2274713","2347077","352332225","39000300","191488","597956","47217429","18349798","73898288","17331"
"fevereiro 2021","65578","12450","234500","3976","1062154","-","3044809","2869586","932964","494058","4437419","5273752","12525436","16214784","2046929","5450000","76211642","2512100","2347077","352332225","39000300","191488","597444","47217429","18349798","73999879","17331"
"março 2021","65578","12450","234500","3976","1057697","-","3044809","2869586","932964","481969","3890330","5273752","13521704","16214784","2046929","5450000","76211642","2512100","2291884","352332225","38337400","191488","591602","47852037","19349521","73959065","17331"
"abril 2021","65578","12450","234500","3976","1057697","-","3044809","2869586","935677","568318","4079980","5273752","13553159","18481358","2046929","5450000","76211642","2513600","2208805","338238936","35916200","191488","591602","47852037","19349521","73959065","17331"
"maio 2021","65578","12450","234500","3976","1057697","-","3044809","2869556","935677","568407","4080112","5364248","13243179","18481358","2046929","5450000","77950780","2513228","2209750","338238936","36362000","191488","590130","47852037","19349521","73959065","17331"
"junho 2021","22846","12450","234500","3976","1057697","-","3044809","2868570","935677","568407","4063112","5364248","13243179","18481358","2046929","5450000","78076780","2513228","2209517","338238936","36393500","191488","590130","47898016","19349521","72607915","17331"
"julho 2021","22846","12450","234500","3976","1057797","-","3044809","2868501","935677","567418","4063112","5435983","13742367","18481358","2046929","5450000","78076780","2513228","2209496","338238936","36426600","191488","590111","47898016","19349521","72607915","17331"
"agosto 2021","22658","12435","234500","3976","1057797","-","3044809","2825625","1110362","566943","4063112","5435983","14390610","17244064","2046929","5450000","76773590","2513228","2209494","338238936","35225100","191488","590111","47845675","19349521","72598265","17331"
"setembro 2021","22608","12435","234500","3976","1057797","-","3044809","2759927","1110362","565702","4063112","5435983","14360648","17990900","2046929","5525000","76567270","2513228","2209494","313636050","34633800","191488","590307","47845675","19349547","72710999","17331"
"outubro 2021","22608","12435","234500","3976","1057537","-","3044809","2759928","1110362","566222","4057081","5435983","14505219","17990900","2046929","5525000","74245844","2513228","2209279","313636050","34633800","191488","590482","47845675","19349547","72710999","17331"
"novembro 2021","24000","12435","234500","3976","1057537","-","3044809","2759940","1110157","575103","4058263","5539533","14505219","17990900","2046929","5525000","69915645","2513228","2205189","313636050","34599900","197690","590482","47287616","19349547","72613899","17331"
"dezembro 2021","22208","12439","234500","3976","1057537","-","3044809","2759891","1110157","574908","4058263","5539533","14522953","17990900","1721249","5525000","69915645","2513228","2207278","301810635","34599900","197690","590452","47287616","19349547","72613899","17331"
"janeiro 2022","25561","12346","267297","3976","1234802","-","3042515","2888720","1071328","481897","4018264","5378232","13962539","17555689","2016806","5600000","77764404","3786739","2284908","413517531","35759000","191488","576720","49343035","19283641","75065593","17377"
"fevereiro 2022","25561","12346","267297","3976","1234802","-","3113188","2888720","1071328","481900","4018264","5378232","13962539","17555689","2016806","5600000","77764404","3786739","2271418","413517531","35210700","191488","543601","49343035","19283641","75065593","17377"
"março 2022","24087","12346","267297","3976","1234742","-","3113188","2888981","1071328","481870","3875413","5378232","14375414","17555689","2016806","5600000","80102615","3110134","2261669","413517531","34368209","175365","450539","47261275","17093556","75065593","17377"
"abril 2022","24146","12346","267297","3976","1234742","-","3113188","2888981","1071130","481865","3285090","5565512","14375414","16948232","2016806","5600000","80102615","3110134","2261297","408956352","33829700","175365","450539","47261275","17093556","75065593","17377"
"maio 2022","24146","12346","267297","3976","1234742","-","3113188","2888981","1071130","481649","3344506","5565512","14375414","16948232","2016806","5600000","80096265","3110134","2261166","408956352","34348700","175365","417661","47261275","17344479","75065593","17377"
"junho 2022","23621","12346","267297","3976","1234702","-","3113188","2888981","1071130","482660","3342610","5565512","14375414","16948232","2016806","5600000","80095895","3110134","2261108","408956352","34286900","175365","417661","47260603","17344479","75257456","17377"
"julho 2022","23391","12346","267297","3976","1234702","-","3046660","2888981","1064908","482261","3342513","5786692","14375414","16948232","2016806","5600000","75621692","3110134","2261108","316445950","34454500","175365","413041","47260603","17344479","75257456","17377"
"agosto 2022","20374","12346","267297","3976","1234702","-","3046660","2889136","1064908","578219","3561484","5786692","14375414","18307033","2016806","5600000","74568447","3110134","2261628","316445950","34578800","175365","413041","47260603","17344479","75187956","17377"
"setembro 2022","20594","12346","267297","3976","1234702","-","3046660","2889143","1064908","578203","3561484","5786692","14375414","18307033","2016806","5600000","73312381","3109754","2261680","297577108","33674758","175365","412980","47260603","17344479","75187956","17377"
"outubro 2022","20594","12346","267297","3976","1234702","-","3046660","2889143","1064908","576107","3697108","5786692","14375414","18307033","2016806","5600000","73312381","3109754","2261695","297577108","33466200","175365","410152","40758854","17344479","75187956","17377"
"novembro 2022","20594","12346","267297","3976","1234702","-","3046660","2826387","1063691","512147","2932760","5921078","14375414","18307033","2016806","5600000","73312381","3109844","2340809","322812000","33466200","187697","410152","40758854","17344479","75187956","17377"
"dezembro 2022","20594","12026","267297","3976","1234702","-","3055000","2826387","1063691","522377","2932760","5921078","14375414","16870542","2016806","5600000","73312381","3108481","2348062","322812000","33466200","187697","413263","40758854","17344479","75187956","17377"
"janeiro 2023","19179","12287","272043","3976","1240755","-","3287309","3102084","1069539","454535","4863969","5460018","13994960","16903751","2064468","5469690","75403863","3148758","2384240","322812000","36227868","187839","525651","44763594","18064803","74249381","17392"
"fevereiro 2023","19179","12287","272043","3976","1240755","-","3287309","3102084","1069506","455684","4863969","5460018","13994960","16903751","2064468","5469690","75403863","3148758","2384240","322812000","34280749","187839","512281","44763594","18064803","74246116","17392"
"março 2023","18923","12287","272043","3976","1240755","-","3287309","3102541","1069506","455684","4863969","5460018","13994960","16903751","2064468","5469690","75403863","3093292","2384240","322812000","32898100","187839","484697","44763594","17887868","74246116","17392"
"abril 2023","18833","12287","272043","3976","1240755","-","3287309","3102541","1069689","455938","4863969","5666545","13994960","16903751","2064468","5469690","75403863","3093292","2381037","357000000","32680500","187839","484697","44763594","17887868","74177291","17392"
"maio 2023","22500","12287","272043","3976","1240755","-","3287309","2893761","1069689","456260","3835094","5666545","13994960","18747990","2064468","5469690","75403863","3093292","2381037","357000000","32300600","187839","443418","44763642","17887868","74189891","17392"
"junho 2023","19139","12287","272043","3976","1240561","-","3225214","2894079","1069689","489102","3835094","5666545","13994960","18747990","2064468","5469690","76749447","3093148","2380655","357000000","32300600","187839","443418","42911632","17887868","74189891","17392"
"julho 2023","19139","12287","272043","3976","1240561","-","3225214","2894371","1068978","554743","4737657","5666545","13994960","18747990","2064468","5469690","76692811","3093148","2380633","357000000","33737200","187839","426083","42911632","17888613","74189891","17392"
"agosto 2023","19139","12087","272043","3365","1240561","-","2980214","2908449","1068978","549491","4737657","5680907","13994960","18747990","1952185","5469690","82329143","3093148","2376628","357000000","34307000","197481","426083","41766134","17888613","80508807","17392"
"setembro 2023","18712","12087","272043","3365","1240561","-","2980214","2908164","1068978","551670","4888408","5680907","13994960","18747990","1952538","5469690","82456211","3093148","2363388","378000000","34653200","197481","427387","41766134","17565228","80095741","17392"
"outubro 2023","18712","12087","65932","3365","1240561","-","2980214","2908127","1068978","556638","4468158","5680907","13994960","18747990","1952538","5469690","82542371","3093148","2363445","378000000","34645000","197481","433527","48260786","17565228","81435592","17392"
"novembro 2023","18712","12087","65932","3365","1240561","-","2980214","2743828","1183019","558305","4462977","6138306","15809385","18788475","1952538","5469690","82542371","3093183","2363445","378000000","34779600","203288","433527","48260786","17565228","81445372","17392"
"dezembro 2023","18080","11919","65932","3365","1240541","-","2980214","2743828","1183019","556509","3699247","6138306","16333058","18788475","1952538","5469690","82542371","3094072","2370656","378000000","34672200","203288","430837","51789876","17565228","81423059","17392"
"janeiro 2024","18518","11306","7060","2711","1243032","-","2433374","2704982","1199203","486194","4826931","5808852","14170482","18745722","1856707","5544090","80975511","3297097","2357763","378000000","34012700","194350","484504","51791018","18737638","81006970","17381"
"fevereiro 2024","-","11306","7060","2711","1243032","-","2433374","2704832","1199203","486163","4826931","5808852","14170482","18745722","1856707","5544090","80975511","3297097","2397455","378000000","33377900","194350","486856","51791018","18737638","80992905","17381"
"março 2024","21173","11306","32831","2711","1243032","-","2433374","2704832","1191233","486163","4826931","5808852","14170482","18745722","1856707","5544090","80975511","3314597","2391449","378000000","33380700","174342","481136","51790636","20083130","79479718","17381"
"abril 2024","21173","11306","29967","2711","1210345","-","2433374","2704832","1191233","485106","4826931","6237507","15224232","18541787","1856707","5544090","80975511","3314597","2392259","378000000","34003900","174342","481136","51790636","20083130","79139505","17381"
"maio 2024","10301","11306","29967","2711","1210345","-","2433401","2709854","1192233","486274","4826931","6237507","15224266","18541787","1856707","5544090","84131326","3314597","2392259","378000000","33071500","174342","477791","51836219","19497029","79182448","17381"
"junho 2024","14000","11306","29936","2711","1210345","-","2944591","2711690","1192233","516714","4781344","6237507","14921339","18541787","1856707","5544090","84131326","3336653","2410582","378000000","34522100","174342","477791","51836219","19497029","79182448","17381"
"julho 2024","13073","11306","30251","2711","1210345","-","2945216","2713540","1192233","519273","4781344","6275744","14921339","18542237","1921176","5542000","84131326","3336653","2412104","378000000","34907600","174342","471978","51836058","19496888","79182448","17381"
"agosto 2024","13073","11306","356335","3257","1210345","-","2945216","3251702","1192713","552627","4789394","6275744","15451456","18542237","1921176","5542000","84131326","3336653","2412064","378000000","35698500","168456","471978","51836058","19496888","79182448","17381"
